id,api_id,name,address_line1,address_line2,city,county,postcode,nation,country,full_address,latitude,longitude,website,store_url
29743,/api/store_locators/29743,Carpet GIANT Maidstone,Unit 1; Haslemere Trading Estate,Sutton Road,Maidstone,England,ME15 9NL,England,United Kingdom,"Unit 1; Haslemere Trading Estate, Sutton Road, Maidstone, England, ME15 9NL, United Kingdom",51.270363,0.522699,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/maidstone/29743-carpet-giant-maidstone?locale=en_GB
29741,/api/store_locators/29741,Carpet GIANT Orpingdon,Unit 1a Oast House Way; Sevenoaks Road,,Orpington,England,BR5 3PT,England,United Kingdom,"Unit 1a Oast House Way; Sevenoaks Road, Orpington, England, BR5 3PT, United Kingdom",51.3935509,0.1102456,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/orpington/29741-carpet-giant-orpingdon?locale=en_GB
30244,/api/store_locators/30244,Carpet Next Day Maidstone,Millwood Court,Tovil Hill,Maidstone,England,ME15 6QS,England,United Kingdom,"Millwood Court, Tovil Hill, Maidstone, England, ME15 6QS, United Kingdom",51.263090,0.513217,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/maidstone/30244-carpet-next-day-maidstone?locale=en_GB
29892,/api/store_locators/29892,Carpet Options,Avenue four,Station Lane,Witney,England,OX28 4BN,England,United Kingdom,"Avenue four, Station Lane, Witney, England, OX28 4BN, United Kingdom",51.778831,-1.481660,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/witney/29892-carpet-options?locale=en_GB
29674,/api/store_locators/29674,Carpets 2 You,5 St Helen Way,St Helen Auckland,Bishop Auckland,England,DL14 9AX,England,United Kingdom,"5 St Helen Way, St Helen Auckland, Bishop Auckland, England, DL14 9AX, United Kingdom",54.6361569,-1.6991456,www.carpets2youltd.co.uk,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/bishop-auckland/29674-carpets-2-you?locale=en_GB
30085,/api/store_locators/30085,Carpets Direct Bristol,2 Trinity Street,,City of Bristol,England,BS2 0NT,England,United Kingdom,"2 Trinity Street, City of Bristol, England, BS2 0NT, United Kingdom",51.456829,-2.575590,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/city-of-bristol/30085-carpets-direct-bristol?locale=en_GB
29745,/api/store_locators/29745,Castle Carpets - Malton,7 Yorkersgate,,Malton,England,YO17 7AA,England,United Kingdom,"7 Yorkersgate, Malton, England, YO17 7AA, United Kingdom",54.1345532,-0.7968655,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/malton/29745-castle-carpets-malton?locale=en_GB
29842,/api/store_locators/29842,Chadwick Carpets Ltd,109-113 St Johns Road,Waterloo,Liverpool,England,L22 9QD,England,United Kingdom,"109-113 St Johns Road, Waterloo, Liverpool, England, L22 9QD, United Kingdom",53.47854,-3.02666,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/liverpool/29842-chadwick-carpets-ltd?locale=en_GB
30252,/api/store_locators/30252,Cheam Flooring,538-540 London Road,Sutton,Cheam,England,SM3 9AA,England,United Kingdom,"538-540 London Road, Sutton, Cheam, England, SM3 9AA, United Kingdom",51.373508,-0.225250,https://cheamflooring.co.uk/,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/cheam/30252-cheam-flooring?locale=en_GB
29763,/api/store_locators/29763,Clarkes Floors And Furniture,311 – 315 Hornchurch Road,Roneo Corner,Hornchurch,England,RM12 4TQ,England,United Kingdom,"311 – 315 Hornchurch Road, Roneo Corner, Hornchurch, England, RM12 4TQ, United Kingdom",51.565074,0.189299,www.clarkesfloorsandfurniture.co.uk,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/hornchurch/29763-clarkes-floors-and-furniture?locale=en_GB
