source_ref,name,town,verdict,company_number,company_name
29728,Walker on Flooring,Eastbourne,NO_MATCH,,
29714,Wansbeck Carpet and Floor,Pegswood,EXACT,10912667,WANSBECK CARPET &amp; FLOOR LTD
29845,Welch Mill Carpets,Borough of Wigan,NO_MATCH,,
29726,Whitburn Coastal Flooring,Whitburn,STRONG,06975698,COASTAL FLOORING LIMITED
29867,Whitley Bay Carpets and Beds,Whitley Bay,NO_MATCH,,
29712,Winnens 1929 ltd,Cheltenham,EXACT,09969881,WINNENS 1929 LTD.
29893,Wycombe Carpet Centre,Buckinghamshire,EXACT,04093736,WYCOMBE CARPET CENTRE LIMITED
30081,Magic Carpets,Isle Of Man,EXACT,07776317,MAGIC CARPETS LIMITED
29665,Allans Furniture Warehouse,Glasgow,STRONG,14524271,ALLANS FURNITURE LTD
29756,Carpet and flooring Services,Oban,STRONG,15306049,CARPET AND WOOD FLOORING SERVICES LTD
29751,Crawford Flooring EK,Hamilton,EXACT,SC741568,CRAWFORD FLOORING EK LIMITED
29844,Donnys Carpets Scotland Ltd,Falkirk,EXACT,SC588670,DONNYS CARPETS (SCOTLAND) LTD
29857,EBR Flooring,Kilmarnock,NO_MATCH,,
29660,Edinburgh Carpet Warehouse Limited,Edinburgh,EXACT,SC203883,EDINBURGH CARPET WAREHOUSE LIMITED
30469,Falkirk Carpets,Falkirk,EXACT,SC738254,FALKIRK CARPETS LTD
29752,Flairplan,Airdrie,EXACT,SC614409,FLAIRPLAN LIMITED
29872,Forever Flooring,Broxburn,EXACT,15528493,FOREVER FLOORING LTD
29839,G Flooring Solutions,Glasgow,EXACT,SC610488,G FLOORING SOLUTIONS LTD
29901,G N L Carpet and Flooring,Uddingston,NO_MATCH,,
29664,Inspired Floors,Motherwell,EXACT,14430750,INSPIRED FLOORS LTD
29431,Inverness Flooring & Furniture,Inverness,EXACT,SC834193,INVERNESS FLOORING &amp; FURNITURE LTD
29759,JM Flooring Scotland,Glasgow,STRONG,11940669,JM FLOORING LTD
29855,Kinnears for Carpets Ltd,Newton Stewart,NO_MATCH,,
29848,M West Flooring,Isle of Arran,EXACT,SC518513,M WEST FLOORING LTD
29755,North Floors,Nairn,STRONG,08113735,CUSTOM FLOORS (NORTH WEST) LIMITED
29879,Northern Carpets and Beds,Kilmarnock,EXACT,SC502368,NORTHERN CARPETS AND BEDS LTD
29898,Saltire Carpets and Beds,Kirkintilloch,EXACT,SC184604,SALTIRE CARPETS &amp; BEDS LIMITED
29884,Sams Carpet and Flooring Ltd,East Kilbride,NO_MATCH,,
29843,Stainton Flooring,Stirling,EXACT,SC794784,STAINTON FLOORING LTD
29841,Uddo Flooring Ltd,Edinburgh,EXACT,SC705355,UDDO FLOORING LIMITED
29873,Unique Flooring Fife,Fife,EXACT,SC402592,UNIQUE FLOORING FIFE LIMITED
29917,White Stag Flooring,Ballater,STRONG,16823306,STAG FLOORING LTD
29868,Whittons Flooring Arbroath,Arbroath,STRONG,SC302482,WHITTONS (FLOORING) LIMITED
29720,Carpetfit Wales,Aberdare,NO_MATCH,,
29899,Castle Carpets Wrexham,Wrexham,STRONG,01444030,CASTLE CARPETS LIMITED
29693,Floor Store U.K,Swansea,STRONG,06318704,FLOOR STORE UK LTD
29885,Floors on Floors Penarth,Penarth,STRONG,07119803,FLOORS ON FLOORS LIMITED
30082,Hughes Flooring,Pontypridd,EXACT,10699530,HUGHES FLOORING LIMITED
29880,Our Own Designs,Cowbridge,STRONG,12840843,OUR OWN CO. LTD
30474,Signature Floors Pembroke,Pembroke Dock,EXACT,12853827,SIGNATURE FLOORS PEMBROKE LTD
